ride_id,datetime,city,driver_id,customer_id,ride_status,distance_km,fare_amount,payment_method,vehicle_type,surge_multiplier
1,2024-03-14 13:24:00,Delhi,1018,10894,Completed,23.87,391.73,Card,Mini,1.2
2,2024-04-02 23:01:00,Hyderabad,1425,15344,Completed,5.59,107.08,Card,Auto,1.0
3,2024-11-22 01:18:00,Hyderabad,1737,10817,Completed,21.92,303.04,Card,Mini,1.0
4,2024-06-07 21:27:00,Hyderabad,1313,13335,Completed,2.47,139.28,Cash,Auto,2.0
5,2024-03-25 03:26:00,Bangalore,1060,5821,Cancelled,6.88,0.0,Cash,Auto,1.0
6,2024-02-23 03:10:00,Hyderabad,1178,17077,Completed,9.0,148.0,UPI,Prime,1.0
7,2024-06-03 16:10:00,Chennai,1865,19991,Completed,8.7,144.4,Wallet,Prime,1.0
8,2024-11-12 20:02:00,Chennai,1426,8541,Completed,8.72,144.64,Card,Auto,1.0
9,2024-06-23 04:44:00,Hyderabad,1265,14380,Completed,20.06,280.72,Wallet,SUV,1.0
10,2024-12-04 23:09:00,Pune,1021,17844,Completed,15.63,227.56,UPI,Auto,1.0
11,2024-03-06 09:03:00,Pune,1828,6739,Completed,5.92,111.04,Wallet,Prime,1.0
12,2024-07-04 14:28:00,Mumbai,1829,13635,Cancelled,24.21,0.0,Wallet,Auto,1.2
13,2024-03-29 22:42:00,Hyderabad,1125,13244,Completed,4.25,91.0,Card,Mini,1.0
14,2024-05-07 11:15:00,Hyderabad,1437,19851,Completed,4.81,97.72,Cash,Auto,1.0
15,2024-11-09 01:13:00,Mumbai,1026,7291,Completed,22.91,314.92,Wallet,SUV,1.0
16,2024-09-28 10:30:00,Mumbai,1074,9191,Completed,9.17,150.04,Cash,SUV,1.0
17,2024-05-13 12:26:00,Chennai,1404,18404,Completed,6.25,230.0,Wallet,Mini,2.0
18,2024-11-23 22:21:00,Bangalore,1439,18625,Completed,23.61,484.98,Wallet,Prime,1.5
19,2024-07-16 00:58:00,Mumbai,1355,15401,Completed,23.2,318.4,UPI,Mini,1.0
20,2024-01-03 05:46:00,Delhi,1160,19575,Completed,3.04,76.48,UPI,Mini,1.0
21,2024-06-26 17:43:00,Delhi,1297,5216,Completed,8.24,166.66,Card,Prime,1.2
22,2024-03-20 09:34:00,Hyderabad,1789,19473,Completed,8.46,141.52,Cash,SUV,1.0
23,2024-03-31 14:31:00,Mumbai,1013,6958,Completed,20.45,285.4,Wallet,SUV,1.0
24,2024-12-22 06:33:00,Mumbai,1643,8825,No Show,19.76,0.0,Wallet,Prime,1.0
25,2024-08-01 12:03:00,Bangalore,1232,12607,Completed,20.76,346.94,UPI,Auto,1.2
26,2024-08-20 19:41:00,Mumbai,1509,16783,Completed,19.74,276.88,Card,Auto,1.0
27,2024-09-18 19:35:00,Hyderabad,1313,6075,Completed,4.66,143.88,Wallet,Auto,1.5
28,2024-09-17 18:56:00,Chennai,1417,5758,Completed,9.61,155.32,Cash,Prime,1.0
29,2024-05-30 09:33:00,Mumbai,1596,13772,Completed,9.48,184.51,Cash,Auto,1.2
30,2024-11-04 04:37:00,Delhi,1864,18158,Completed,22.41,308.92,Card,Auto,1.0
31,2024-12-12 19:31:00,Hyderabad,1889,8137,Completed,18.4,312.96,Cash,Mini,1.2
32,2024-01-04 17:32:00,Bangalore,1048,10299,Completed,19.73,276.76,Cash,SUV,1.0
33,2024-06-09 16:26:00,Hyderabad,1447,10673,Completed,11.83,181.96,Card,SUV,1.0
34,2024-07-18 16:32:00,Hyderabad,1252,7209,Completed,2.72,72.64,Cash,Auto,1.0
35,2024-09-15 01:42:00,Hyderabad,1448,14907,Completed,13.7,306.6,UPI,Mini,1.5
36,2024-04-24 19:08:00,Delhi,1141,6432,Completed,11.44,212.74,Cash,Auto,1.2
37,2024-12-06 09:16:00,Bangalore,1329,14571,Completed,3.77,85.24,Card,Prime,1.0
38,2024-11-14 00:11:00,Hyderabad,1507,12818,Completed,23.38,384.67,UPI,Auto,1.2
39,2024-11-01 07:44:00,Delhi,1115,10723,Completed,22.04,365.38,UPI,Mini,1.2
40,2024-01-09 10:24:00,Chennai,1064,7991,Completed,22.53,310.36,Cash,Auto,1.0
41,2024-10-20 09:18:00,Chennai,1429,16437,Cancelled,22.61,0.0,Card,Auto,1.0
42,2024-12-20 18:10:00,Bangalore,1487,19609,Completed,7.24,126.88,Wallet,Mini,1.0
43,2024-04-23 16:36:00,Hyderabad,1323,15601,Cancelled,21.8,0.0,Wallet,SUV,1.0
44,2024-07-19 17:52:00,Hyderabad,1205,11558,Completed,11.6,179.2,Cash,Mini,1.0
45,2024-03-11 22:44:00,Bangalore,1411,6052,Completed,9.77,235.86,UPI,Auto,1.5
46,2024-12-08 20:59:00,Hyderabad,1758,18414,Completed,13.93,248.59,Card,Prime,1.2
47,2024-09-02 20:26:00,Pune,1191,14783,Completed,24.35,664.4,Wallet,SUV,2.0
48,2024-04-19 07:06:00,Bangalore,1854,11903,Completed,13.44,201.28,Card,Auto,1.0
49,2024-05-13 20:37:00,Chennai,1051,14583,Completed,2.85,74.2,UPI,Mini,1.0
50,2024-04-23 03:28:00,Delhi,1706,15767,Completed,3.18,78.16,UPI,Mini,1.0
51,2024-07-31 17:58:00,Bangalore,1133,9361,Cancelled,7.51,0.0,UPI,Mini,1.0
52,2024-03-03 23:08:00,Delhi,1750,10809,Completed,24.67,336.04,UPI,SUV,1.0
53,2024-02-11 05:15:00,Mumbai,1074,19698,Completed,19.52,274.24,UPI,SUV,1.0
54,2024-07-16 22:42:00,Delhi,1102,17263,Completed,10.46,165.52,Cash,Mini,1.0
55,2024-05-30 14:56:00,Delhi,1332,13798,Completed,14.32,211.84,Card,Mini,1.0
56,2024-02-29 19:43:00,Mumbai,1748,16302,Cancelled,9.38,0.0,Card,SUV,1.0
57,2024-07-21 15:35:00,Bangalore,1022,11679,Completed,15.59,227.08,Wallet,Auto,1.0
58,2024-03-08 00:52:00,Bangalore,1374,11772,Completed,13.78,205.36,Card,Mini,1.0
59,2024-09-30 21:52:00,Mumbai,1922,9209,Completed,6.01,112.12,Cash,Mini,1.0
60,2024-06-04 08:31:00,Hyderabad,1426,18558,Completed,23.54,322.48,Cash,Mini,1.0
61,2024-01-15 11:26:00,Delhi,1277,15698,Completed,4.61,142.98,UPI,Mini,1.5
62,2024-07-12 20:17:00,Chennai,1572,10621,Cancelled,7.93,0.0,Card,SUV,1.0
63,2024-11-18 20:53:00,Pune,1027,19491,Cancelled,14.77,0.0,UPI,SUV,1.0
64,2024-08-03 18:24:00,Mumbai,1450,6258,Completed,4.14,134.52,Card,Auto,1.5
65,2024-08-27 16:26:00,Mumbai,1454,18062,Cancelled,16.56,0.0,Cash,Prime,1.0
66,2024-03-26 13:09:00,Delhi,1338,10904,Completed,18.7,396.6,UPI,SUV,1.5
67,2024-10-03 12:10:00,Pune,1307,15974,Cancelled,19.94,0.0,UPI,Mini,1.0
68,2024-06-18 07:16:00,Bangalore,1628,7989,Completed,5.72,162.96,Wallet,Mini,1.5
69,2024-02-26 01:40:00,Chennai,1277,18444,Completed,2.21,66.52,Cash,SUV,1.0
70,2024-08-22 20:44:00,Chennai,1979,14951,Completed,2.12,65.44,Wallet,Auto,1.0
